date,diesel,midgrade_ref,premium_conv,premium_ref,midgrade_conv,regular_ref,regular_conv,crude_oil,usd_index,covid_flag,crisis_flag
2017-02-27,0.4261348727368144,0.5010687022900764,0.5241508258024304,0.5281517747858017,0.4757403906742282,0.4613504430186374,0.4253707794256863,0.360919540229885,0.7942804451978911,0,0
2017-03-06,0.426659669378116,0.5077862595419849,0.5319414147709566,0.5318237454100366,0.4839319470699434,0.467461044912924,0.4351530451246449,0.3389367816091953,0.8033311487523238,0,0
2017-03-13,0.4227236945683547,0.5056488549618321,0.5250856964786537,0.5299877600979193,0.4766855702583492,0.4644057439657807,0.4282107920479646,0.3211925287356321,0.7862011277834591,0,0
2017-03-20,0.4161637365520861,0.5050381679389313,0.5247740729199126,0.5299877600979193,0.4773156899810966,0.464711274060495,0.4269485642158409,0.3158045977011494,0.7552122494282982,0,0
2017-03-27,0.4143269483075307,0.5053435114503817,0.5229043315674663,0.5305997552019583,0.4751102709514809,0.4659333944393524,0.4237929946355318,0.3291666666666666,0.7480171424746374,0,0
2017-04-03,0.4206245080031487,0.5108396946564886,0.5375506388282952,0.5376376988984087,0.4908632640201638,0.4744882370913536,0.4405175134111707,0.3443965517241378,0.7594885278362842,0,0
2017-04-10,0.4274468643400681,0.5248854961832061,0.5593642879401682,0.550795593635251,0.5126023944549465,0.48976474182707,0.4626065004733354,0.3582614942528735,0.755225740902465,0,0
2017-04-17,0.4313828391498294,0.5331297709923666,0.5615456528513554,0.5599755201958384,0.5135475740390676,0.4974029941949282,0.46418428526349,0.3431752873563218,0.7486538362747344,0,0
2017-04-24,0.4308580425085279,0.5334351145038168,0.566843253349953,0.5605875152998776,0.5192186515437933,0.4995417048579285,0.4692331965919847,0.329022988505747,0.7527832651754434,0,0
2017-05-01,0.427709262660719,0.5267175572519085,0.5550015581177935,0.5541615667074663,0.5069313169502208,0.4900702719217842,0.4562953613127168,0.315301724137931,0.7528242585007958,0,0
2017-05-08,0.4229860928890054,0.5181679389312979,0.5422249922094109,0.5455936352509181,0.4933837429111532,0.4812098991750688,0.442726412117387,0.3140804597701149,0.7621489427613826,0,0
2017-05-15,0.4174757281553398,0.5203053435114504,0.5400436272982235,0.5471236230110159,0.4918084436042849,0.481515429269783,0.4411486273272325,0.3298850574712643,0.7343855645377637,0,0
2017-05-22,0.4161637365520861,0.5328244274809162,0.5447179806793392,0.5575275397796817,0.4987397605545053,0.4949587534372135,0.4484064373619437,0.336853448275862,0.7224482044145142,0,0
2017-05-29,0.42456048281291,0.5380152671755727,0.5444063571205983,0.5627294981640146,0.4974795211090108,0.5004582951420715,0.4490375512780056,0.3244252873563217,0.716833286372625,0,0
2017-06-05,0.4227236945683547,0.5349618320610687,0.5512620754129011,0.560281517747858,0.5040957781978577,0.4970974641002139,0.4544020195645314,0.3107040229885057,0.7044640693503279,0,0
2017-06-12,0.4122277617423248,0.5224427480916032,0.5378622623870363,0.5486536107711139,0.4902331442974166,0.4827375496486404,0.4389397286210159,0.3015804597701149,0.6986269311618281,0,0
2017-06-19,0.4030438205195486,0.5120610687022902,0.5241508258024304,0.5388616891064871,0.4766855702583492,0.4705163458600672,0.422530766803408,0.2857040229885057,0.7101543580315526,0,0
2017-06-26,0.3967462608239306,0.5010687022900764,0.5176067310688687,0.5278457772337821,0.4691241335853812,0.4579896119767797,0.4152729567686967,0.2967672413793103,0.6893131438611451,0,0
2017-07-03,0.3985830490684859,0.4977099236641222,0.5054534122779681,0.5250917992656059,0.4571518588531822,0.4552398411243507,0.4032817923635214,0.2991379310344827,0.6939399411460383,0,0
2017-07-10,0.4009446339543426,0.4998473282442748,0.5179183546276098,0.5266217870257037,0.4713295526149969,0.4604338527344944,0.418112969390975,0.30308908045977,0.673543167268853,0,0
2017-07-17,0.4035686171608502,0.4958778625954199,0.512620754129012,0.5223378212974297,0.4650283553875237,0.4558509013137795,0.4111707163142947,0.3095545977011493,0.6419191518221528,0,0
2017-07-24,0.4077669902912621,0.502290076335878,0.5253973200373946,0.5290697674418604,0.4766855702583492,0.464711274060495,0.422530766803408,0.3229166666666666,0.635479048518973,0,0
2017-07-31,0.4140645499868801,0.5114503816793894,0.5409784979744467,0.5388616891064871,0.4911783238815375,0.4741827069966391,0.4367308299147996,0.3318965517241379,0.6278537711005359,0,0
2017-08-07,0.4271844660194174,0.5218320610687024,0.5456528513555624,0.5495716034271726,0.4959042218021425,0.4857928505957837,0.443357526033449,0.328735632183908,0.6373777140565071,0,0
2017-08-14,0.43164523747048,0.5224427480916032,0.5484574633842317,0.5483476132190943,0.4996849401386263,0.4839596700274977,0.4468286525717891,0.3175287356321838,0.636653325674327,0,0
2017-08-21,0.4311204408291786,0.5187786259541984,0.5409784979744467,0.5437576499388005,0.4914933837429112,0.4793767186067828,0.4379930577469233,0.3186781609195401,0.6223814216173889,0,0
2017-08-28,0.4334820257150354,0.523053435114504,0.5562480523527578,0.547735618115055,0.5069313169502208,0.4848762603116407,0.4534553486904386,0.3114942528735632,0.6100491764233369,0,0
2017-09-04,0.4736289687745997,0.602442748091603,0.6478653786226237,0.6337209302325582,0.5973534971644614,0.5685915062633671,0.5424424108551593,0.3251436781609195,0.5854418950747298,0,0
2017-09-11,0.4851744948832326,0.6045801526717558,0.6494234964163289,0.6355569155446755,0.5989287964713297,0.5707302169263673,0.5443357526033448,0.3286637931034482,0.5891482884248855,0,0
2017-09-18,0.4822881133560744,0.5917557251908396,0.6350888127142411,0.622093023255814,0.5834908632640203,0.5551481820959365,0.5282423477437678,0.3362068965517241,0.5958717126855659,0,0
2017-09-25,0.4815009183941222,0.5767938931297711,0.6216889996883762,0.6058751529987759,0.5689981096408319,0.5395661472655058,0.5121489428841906,0.3480603448275862,0.6277292344159195,0,0
2017-10-02,0.4825505116767252,0.5688549618320611,0.6173262698660018,0.597001223990208,0.5649023314429742,0.5319278948976474,0.5074155885137266,0.3369971264367815,0.6422486551335318,0,0
2017-10-09,0.4783521385463131,0.5557251908396947,0.59582424431287,0.5835373317013464,0.542848141146818,0.517567980446074,0.4862732723256547,0.3408764367816091,0.6379983218681748,0,0
2017-10-16,0.4812385200734714,0.5499236641221374,0.588968526020567,0.5771113831089351,0.5381222432262129,0.5114573785517875,0.4821710318712526,0.3478448275862069,0.6493488028651737,0,0
2017-10-23,0.483862503279979,0.5465648854961833,0.5833593019632283,0.5731334149326806,0.5333963453056083,0.5065688970363582,0.4799621331650362,0.3533764367816091,0.6707478376020877,0,0
2017-10-30,0.4896352663342954,0.5514503816793894,0.5836709255219693,0.5783353733170135,0.5356017643352238,0.5126794989306447,0.4812243609971599,0.3683189655172413,0.676913960199113,0,0
2017-11-06,0.5061663605352926,0.5819847328244274,0.5998753505765034,0.6055691554467564,0.5522999369880279,0.5438435685915064,0.4995266645629536,0.3859913793103448,0.675172522225906,0,0
2017-11-13,0.5148255051167672,0.5905343511450383,0.6117170458086629,0.6129130966952264,0.5645872715816005,0.5508707607699359,0.5108867150520668,0.3770833333333332,0.6667756362657049,0,0
2017-11-20,0.5140383101548149,0.583206106870229,0.6067310688688063,0.6067931456548348,0.5579710144927537,0.543538038496792,0.5033133480593246,0.3890086206896551,0.6486488029170636,0,0
2017-11-27,0.5177118866439254,0.573435114503817,0.596447491430352,0.5982252141982863,0.5475740390674229,0.5331500152765047,0.4919532975702113,0.3914511494252873,0.6372796414173725,0,0
2017-12-04,0.5166622933613225,0.5648854961832062,0.5867871611093797,0.5908812729498164,0.5368620037807184,0.523984112435075,0.4812243609971599,0.3850574712643678,0.6510601444729316,0,0
2017-12-11,0.5135135135135136,0.5560305343511451,0.5842941726394514,0.5826193390452877,0.534341524889729,0.5154292697830738,0.4783843483748815,0.386853448275862,0.6619270080113409,0,0
2017-12-18,0.5111519286276567,0.5502290076335878,0.5727641009660328,0.5768053855569155,0.5220541902961564,0.5096241979835014,0.4648153991795518,0.3918821839080459,0.6554438357713988,0,0
2017-12-25,0.5116767252689582,0.5554198473282443,0.5780617014646305,0.5810893512851897,0.5280403276622558,0.5145126794989308,0.4730198800883558,0.4063218390804597,0.6460127764260357,0,0
2018-01-01,0.5300446077145105,0.5658015267175573,0.5948893736366468,0.5930232558139534,0.5456836798991809,0.5264283531927896,0.4894288419059639,0.4169540229885057,0.6182650950137063,0,0
2018-01-08,0.5360797690894779,0.5731297709923664,0.5942661265191647,0.5994492044063647,0.5437933207309389,0.5322334249923619,0.4872199431997475,0.430603448275862,0.6172520669197867,0,0
2018-01-15,0.5444765153503017,0.5792366412213741,0.6042380803988779,0.6052631578947368,0.5548204158790171,0.538038496791934,0.5011044493531082,0.4342672413793103,0.5815429887662722,0,0
2018-01-22,0.5436893203883495,0.583206106870229,0.6098473044562168,0.6098531211750307,0.5592312539382485,0.5407882676443632,0.5039444619753866,0.4441091954022988,0.5596175270854316,0,0
2018-01-29,0.555497244817633,0.5978625954198473,0.6201308818946711,0.6236230110159119,0.5686830497794582,0.5569813626642226,0.514673398548438,0.4454022988505746,0.5503374684701652,0,0
2018-02-05,0.559695617948045,0.6097709923664123,0.627921470863197,0.6337209302325582,0.5778197857592944,0.567674915979224,0.5235089933733038,0.4216235632183907,0.5738728262510877,0,0
2018-02-12,0.5536604565730778,0.6027480916030534,0.6198192583359301,0.6266829865361077,0.5689981096408319,0.5597311335166515,0.5130956137582834,0.4112068965517241,0.5642923228841861,0,0
2018-02-19,0.5442141170296511,0.593587786259542,0.6042380803988779,0.6178090575275398,0.5522999369880279,0.5487320501069355,0.4954244241085516,0.4249281609195401,0.5721677114775603,0,0
2018-02-26,0.5389661506166361,0.5932824427480918,0.5989404799002803,0.6162790697674418,0.5463137996219283,0.5487320501069355,0.4913221836541496,0.4220545977011494,0.5838034593177563,0,0
2018-03-05,0.5350301758068747,0.5926717557251908,0.6064194453100653,0.6159730722154223,0.5541902961562697,0.5478154598227927,0.497633322814768,0.419037356321839,0.5806751237453573,0,0
2018-03-12,0.5308318026764629,0.5963358778625956,0.6023683390464318,0.6178090575275398,0.5510396975425331,0.5508707607699359,0.4954244241085516,0.4163793103448275,0.5793332409686252,0,0
2018-03-19,0.5297822093938598,0.6085496183206107,0.6135867871611093,0.6291309669522643,0.5626969124133587,0.5630919645585091,0.5077311454717577,0.4367097701149424,0.5819801644195577,0,0
2018-03-26,0.5397533455785881,0.6244274809160306,0.6269866001869739,0.6450428396572827,0.5768746061751735,0.5795905896730829,0.522562322499211,0.4428879310344827,0.5640442873206606,0,0
2018-04-02,0.5481500918394122,0.6390839694656489,0.6438142723589902,0.6591187270501837,0.5935727788279774,0.5967002749770853,0.5386557273587882,0.4292385057471263,0.5701880970950262,0,0
